Formularz 6 kroków;;;;;;;;
step_id;step_name;question_text;answer_label_user;answer_code_AI;required;conditional_logic;why_we_ask;uwagi_dla_AI
K1;Rodzaj pisma;Rodzaj pisma, którego dotyczy sprawa;Pozew (spółka);K1_POZEW_SPOLKA;TAK;Brak;Różne pisma mają różną wagę — to wpływa na pilność i końcową ocenę ryzyka.;Jeżeli dokument główny został rozpoznany automatycznie, kalkulator może wstępnie zaznaczyć tę odpowiedź.
K1;Rodzaj pisma;Rodzaj pisma, którego dotyczy sprawa;Pozew (członek zarządu);K1_POZEW_CZLONEK_ZARZADU;TAK;Brak;Różne pisma mają różną wagę — to wpływa na pilność i końcową ocenę ryzyka.;Wysoki ciężar gatunkowy dokumentu.
K1;Rodzaj pisma;Rodzaj pisma, którego dotyczy sprawa;Nakaz zapłaty (spółka);K1_NAKAZ_SPOLKA;TAK;Brak;Różne pisma mają różną wagę — to wpływa na pilność i końcową ocenę ryzyka.;Ważny dokument, ale niżej niż dokument skierowany do członka zarządu.
K1;Rodzaj pisma;Rodzaj pisma, którego dotyczy sprawa;Nakaz zapłaty (członek zarządu);K1_NAKAZ_CZLONEK_ZARZADU;TAK;Brak;Różne pisma mają różną wagę — to wpływa na pilność i końcową ocenę ryzyka.;Jeden z najwyższych priorytetów.
K1;Rodzaj pisma;Rodzaj pisma, którego dotyczy sprawa;Wyrok zaoczny (spółka);K1_WYROK_ZAOCZNY_SPOLKA;TAK;Brak;Różne pisma mają różną wagę — to wpływa na pilność i końcową ocenę ryzyka.;Traktowany jak nakaz zapłaty przeciwko spółce (ten sam dwutygodniowy termin na sprzeciw), ale z rygorem natychmiastowej wykonalności.
K1;Rodzaj pisma;Rodzaj pisma, którego dotyczy sprawa;Wyrok zaoczny (członek zarządu);K1_WYROK_ZAOCZNY_CZLONEK_ZARZADU;TAK;Brak;Różne pisma mają różną wagę — to wpływa na pilność i końcową ocenę ryzyka.;Traktowany jak nakaz zapłaty przeciwko członkowi zarządu (jeden z najwyższych priorytetów), z rygorem natychmiastowej wykonalności.
K1;Rodzaj pisma;Rodzaj pisma, którego dotyczy sprawa;Wezwanie sądowe (spółka);K1_WEZWANIE_SADOWE_SPOLKA;TAK;Brak;Różne pisma mają różną wagę — to wpływa na pilność i końcową ocenę ryzyka.;Ważne, ale niżej niż wezwanie skierowane do członka zarządu.
K1;Rodzaj pisma;Rodzaj pisma, którego dotyczy sprawa;Wezwanie sądowe (członek zarządu);K1_WEZWANIE_SADOWE_CZLONEK_ZARZADU;TAK;Brak;Różne pisma mają różną wagę — to wpływa na pilność i końcową ocenę ryzyka.;Wysoki priorytet, jeżeli zawiera termin reakcji.
K1;Rodzaj pisma;Rodzaj pisma, którego dotyczy sprawa;Inne / nie wiem;K1_INNE_NIE_WIEM;TAK;Brak;Różne pisma mają różną wagę — to wpływa na pilność i końcową ocenę ryzyka.;Użytkownik może wybrać, gdy nie rozumie dokumentu albo OCR nie pozwala na rozpoznanie.
K2;Czas na reakcję;Ile czasu zostało na reakcję?;0–3 dni kalendarzowe;K2_DAYS_LEFT_0_3;TAK;Może być automatycznie wyliczone z daty doręczenia i terminu formalnego.;Najczęściej o wyniku decyduje czas — nawet dobra obrona nie zadziała, jeśli termin ucieknie.;Najwyższa pilność.
K2;Czas na reakcję;Ile czasu zostało na reakcję?;4–7 dni kalendarzowych;K2_DAYS_LEFT_4_7;TAK;Może być automatycznie wyliczone z daty doręczenia i terminu formalnego.;Najczęściej o wyniku decyduje czas — nawet dobra obrona nie zadziała, jeśli termin ucieknie.;Wysoka pilność.
K2;Czas na reakcję;Ile czasu zostało na reakcję?;8–14 dni kalendarzowych;K2_DAYS_LEFT_8_14;TAK;Może być automatycznie wyliczone z daty doręczenia i terminu formalnego.;Najczęściej o wyniku decyduje czas — nawet dobra obrona nie zadziała, jeśli termin ucieknie.;Umiarkowana pilność.
K2;Czas na reakcję;Ile czasu zostało na reakcję?;Ponad 14 dni kalendarzowych;K2_DAYS_LEFT_ABOVE_14;TAK;Może być automatycznie wyliczone z daty doręczenia i terminu formalnego.;Najczęściej o wyniku decyduje czas — nawet dobra obrona nie zadziała, jeśli termin ucieknie.;Niska pilność, ale zależna od typu dokumentu.
K2;Czas na reakcję;Ile czasu zostało na reakcję?;Nie wiem / nie udało się ustalić;K2_DAYS_LEFT_UNKNOWN;TAK;Stosować, gdy brak daty doręczenia, brak terminu albo OCR nie pozwala ustalić danych.;Najczęściej o wyniku decyduje czas — nawet dobra obrona nie zadziała, jeśli termin ucieknie.;Brak wiedzy o terminie zwiększa ostrożność oceny.
K2A;Data doręczenia;Znam datę doręczenia — policz, ile czasu zostało;Tak, znam datę doręczenia;K2A_DELIVERY_DATE_KNOWN;NIE;Jeżeli użytkownik zaznaczy, pokaż kalendarz daty doręczenia.;Data doręczenia pozwala obliczyć faktyczny czas pozostały na reakcję.;To nie jest osobna punktowana odpowiedź, tylko dane pomocnicze do K2.
K2A;Data doręczenia;Znam datę doręczenia — policz, ile czasu zostało;Nie znam daty doręczenia;K2A_DELIVERY_DATE_UNKNOWN;NIE;Jeżeli użytkownik nie zna daty, K2 może pozostać jako „nie wiem”.;Data doręczenia pozwala obliczyć faktyczny czas pozostały na reakcję.;Brak daty doręczenia powinien zwiększyć ostrożność oceny.
K3;Potrzebne wsparcie;Jakiego wsparcia teraz potrzebujesz?;Tylko wstępna ocena bez wysyłki dokumentów;K3_SUPPORT_BASIC_NO_DOCS;TAK;Brak;Ocena bez dokumentów może być tylko orientacyjna. Audyt 48h daje większą pewność, ale wymaga przesłania kompletu dokumentów.;Użytkownik jest jeszcze daleko od Audytu 48h.
K3;Potrzebne wsparcie;Jakiego wsparcia teraz potrzebujesz?;Wstępna ocena teraz + dokumenty dosyłam później;K3_SUPPORT_NOW_DOCS_LATER;TAK;Brak;Ocena bez dokumentów może być tylko orientacyjna. Audyt 48h daje większą pewność, ale wymaga przesłania kompletu dokumentów.;Dobry moment na CTA do Audytu 48h.
K3;Potrzebne wsparcie;Jakiego wsparcia teraz potrzebujesz?;Jestem gotowy wysłać dokumenty i wejść w Audyt 48h;K3_READY_FOR_AUDIT_48H;TAK;Brak;Ocena bez dokumentów może być tylko orientacyjna. Audyt 48h daje większą pewność, ale wymaga przesłania kompletu dokumentów.;Użytkownik jest najbliżej konwersji.
K4;Status w zarządzie;Status w zarządzie w okresie sprawy;Nadal pełnię funkcję;K4_BOARD_ACTIVE;TAK;Jeżeli wybrane, K5 ustaw jako „Nie dotyczy”.;Status i daty pełnienia funkcji wpływają na ryzyka oraz na to, co warto zabezpieczyć dowodowo.;K5 nie powinien być wymagany.
K4;Status w zarządzie;Status w zarządzie w okresie sprawy;Była rezygnacja / odwołanie;K4_BOARD_RESIGNED;TAK;Jeżeli wybrane, pokaż K5.;Status i daty pełnienia funkcji wpływają na ryzyka oraz na to, co warto zabezpieczyć dowodowo.;K5 powinien być obowiązkowy.
K4;Status w zarządzie;Status w zarządzie w okresie sprawy;Nie wiem / trudno powiedzieć;K4_BOARD_UNKNOWN;TAK;Można pokazać K5 jako opcjonalny albo ustawić K5_UNKNOWN.;Status i daty pełnienia funkcji wpływają na ryzyka oraz na to, co warto zabezpieczyć dowodowo.;Niepewność statusu zwiększa chaos informacyjny.
K5;Status wpisu w KRS;Czy zmiana została ujawniona w KRS?;Tak — wpis w KRS widnieje;K5_KRS_UPDATED;WARUNKOWO;Obowiązkowe tylko, gdy K4 = K4_BOARD_RESIGNED.;W praktyce wiele sytuacji opiera się o wpis w KRS — brak aktualizacji potrafi zwiększać chaos formalny.;Najniższy poziom chaosu w tym kroku.
K5;Status wpisu w KRS;Czy zmiana została ujawniona w KRS?;Nie — brak aktualnego wpisu w KRS;K5_KRS_NOT_UPDATED;WARUNKOWO;Obowiązkowe tylko, gdy K4 = K4_BOARD_RESIGNED.;W praktyce wiele sytuacji opiera się o wpis w KRS — brak aktualizacji potrafi zwiększać chaos formalny.;Podwyższa chaos i niepewność formalną.
K5;Status wpisu w KRS;Czy zmiana została ujawniona w KRS?;Nie wiem;K5_KRS_UNKNOWN;WARUNKOWO;Obowiązkowe tylko, gdy K4 = K4_BOARD_RESIGNED albo gdy użytkownik chce uzupełnić informację.;W praktyce wiele sytuacji opiera się o wpis w KRS — brak aktualizacji potrafi zwiększać chaos formalny.;Zwiększa ostrożność oceny.
K5;Status wpisu w KRS;Czy zmiana została ujawniona w KRS?;Nie dotyczy;K5_NOT_APPLICABLE;NIE;Automatycznie ustaw, gdy K4 = K4_BOARD_ACTIVE.;W praktyce wiele sytuacji opiera się o wpis w KRS — brak aktualizacji potrafi zwiększać chaos formalny.;Wartość techniczna potrzebna do scenariuszy.
K6;Cel klienta;Jaki jest Twój główny cel?;Chcę ocenić, czy mam realne podstawy obrony;K6_GOAL_DEFENSE;TAK;Brak;Cel pomaga dobrać charakter komunikatu: ocena szans, bezpieczne przygotowanie obrony, konkretne pismo procesowe albo uporządkowanie sytuacji.;Analiza szans i możliwych argumentów obrony.
K6;Cel klienta;Jaki jest Twój główny cel?;Chcę zyskać czas na przygotowanie obrony;K6_GOAL_BUY_TIME;TAK;Brak;Cel pomaga dobrać charakter komunikatu: ocena szans, bezpieczne przygotowanie obrony, konkretne pismo procesowe albo uporządkowanie sytuacji.;Chodzi o legalne wykorzystanie dostępnych środków procesowych, aby zebrać dokumenty i przygotować obronę — nie o nadużycie prawa.
K6;Cel klienta;Jaki jest Twój główny cel?;Chcę przygotować odpowiednie pismo procesowe;K6_GOAL_PROCEDURAL_LETTER;TAK;Brak;Cel pomaga dobrać charakter komunikatu: ocena szans, bezpieczne przygotowanie obrony, konkretne pismo procesowe albo uporządkowanie sytuacji.;Cel praktyczny: sprzeciw, odpowiedź na pozew albo inne właściwe pismo zależnie od dokumentu.
K6;Cel klienta;Jaki jest Twój główny cel?;Potrzebuję planu działania i oceny szans;K6_GOAL_PLAN;TAK;Brak;Cel pomaga dobrać charakter komunikatu: ocena szans, bezpieczne przygotowanie obrony, konkretne pismo procesowe albo uporządkowanie sytuacji.;Plan działania i ocena szans po uporządkowaniu dokumentów, terminu oraz możliwych zarzutów.
K6;Cel klienta;Jaki jest Twój główny cel?;Nie wiem — potrzebuję uporządkowania sytuacji;K6_GOAL_UNKNOWN;TAK;Brak;Cel pomaga dobrać charakter komunikatu: ocena szans, bezpieczne przygotowanie obrony, konkretne pismo procesowe albo uporządkowanie sytuacji.;Opcja dla osoby, która nie potrafi jeszcze wybrać strategii.
K7;Kwota roszczenia;Jaka jest kwota roszczenia wskazana w dokumencie?;Nie wiem / nie widzę kwoty;K7_AMOUNT_UNKNOWN;TAK;Brak;Kwota wpływa na ciężar gatunkowy sprawy, skalę ryzyka finansowego i priorytet działań.;Zwiększa niepewność i ostrożność oceny.
K7;Kwota roszczenia;Jaka jest kwota roszczenia wskazana w dokumencie?;Do 10 000 zł;K7_AMOUNT_UP_TO_10K;TAK;Brak;Kwota wpływa na ciężar gatunkowy sprawy, skalę ryzyka finansowego i priorytet działań.;Niska wartość roszczenia, ale nadal oceniać termin i typ dokumentu.
K7;Kwota roszczenia;Jaka jest kwota roszczenia wskazana w dokumencie?;10 001 – 50 000 zł;K7_AMOUNT_10K_50K;TAK;Brak;Kwota wpływa na ciężar gatunkowy sprawy, skalę ryzyka finansowego i priorytet działań.;Umiarkowana wartość roszczenia.
K7;Kwota roszczenia;Jaka jest kwota roszczenia wskazana w dokumencie?;50 001 – 150 000 zł;K7_AMOUNT_50K_150K;TAK;Brak;Kwota wpływa na ciężar gatunkowy sprawy, skalę ryzyka finansowego i priorytet działań.;Istotna wartość roszczenia.
K7;Kwota roszczenia;Jaka jest kwota roszczenia wskazana w dokumencie?;150 001 – 500 000 zł;K7_AMOUNT_150K_500K;TAK;Brak;Kwota wpływa na ciężar gatunkowy sprawy, skalę ryzyka finansowego i priorytet działań.;Wysoka wartość roszczenia — podnosi ciężar sprawy.
K7;Kwota roszczenia;Jaka jest kwota roszczenia wskazana w dokumencie?;Powyżej 500 000 zł;K7_AMOUNT_ABOVE_500K;TAK;Brak;Kwota wpływa na ciężar gatunkowy sprawy, skalę ryzyka finansowego i priorytet działań.;Bardzo wysoka wartość roszczenia — znacząco podnosi ciężar sprawy.
K1;Rodzaj pisma;Rodzaj pisma, którego dotyczy sprawa;Pismo z ZUS / urzędu dotyczące odpowiedzialności członka zarządu;K1_ORGAN_PUBLICZNY_CZLONEK_ZARZADU;TAK;Brak;Różne pisma mają różną wagę — to wpływa na pilność i końcową ocenę ryzyka.;Nowa kategoria v35: zawiadomienie/wezwanie/decyzja ZUS lub urzędu skarbowego dotyczące zaległości spółki i odpowiedzialności członka zarządu.
K1;Rodzaj pisma;Rodzaj pisma, którego dotyczy sprawa;Pismo komornicze (spółka);K1_PISMO_KOMORNIK_SPOLKA;TAK;Brak;Różne pisma mają różną wagę — to wpływa na pilność i końcową ocenę ryzyka.;Nowa kategoria 05.07.2026: pismo komornika w egzekucji przeciwko spółce (zawiadomienie o wszczęciu egzekucji, zajęcie rachunku, wezwanie do wykazu majątku itp.). Egzekucja przeciwko spółce to przedpole odpowiedzialności z art. 299 KSH — jeżeli okaże się bezskuteczna, wierzyciel może dochodzić zapłaty od członków zarządu.
K1;Rodzaj pisma;Rodzaj pisma, którego dotyczy sprawa;Pismo komornicze (członek zarządu);K1_PISMO_KOMORNIK_CZLONEK_ZARZADU;TAK;Brak;Różne pisma mają różną wagę — to wpływa na pilność i końcową ocenę ryzyka.;Nowa kategoria 05.07.2026: pismo komornika w egzekucji z majątku osobistego członka zarządu — najpóźniejszy etap sprawy, istnieje tytuł wykonawczy przeciwko osobie fizycznej. Jeden z najwyższych ciężarów gatunkowych.
K1;Rodzaj pisma;Rodzaj pisma, którego dotyczy sprawa;Wezwanie przedsądowe (członek zarządu);K1_WEZWANIE_PRZEDSADOWE_CZLONEK_ZARZADU;TAK;Brak;Różne pisma mają różną wagę — to wpływa na pilność i końcową ocenę ryzyka.;Nowa kategoria 06.07.2026: przedsądowe wezwanie do zapłaty powołujące się na art. 299 KSH i/lub bezskuteczność egzekucji wobec spółki, skierowane do członka zarządu — poważny sygnał, ale to jeszcze nie dokument sądowy.
